,tweet,dialect
3105,هذي صح في خاطر بنات بلادي,Algeria
3106,هم يحسبون الحب رقص وسهر ليل غاوين تجمعهم على الاثم حفله وانا أشوف الحب من باب تحليل قلبين تجمعهم على الدين طفله  URL ,Morocco
3107,مين بيكراش عليا,Egypt
3108,بقي أسلوب حياة يابنتي,Egypt
3109,زححححمة و فيه اماكن مخصصه للاحتفال ما قالو احتفلو فالشارع,Saudi_Arabia
3110,لا واضح إن الديربي مولللع,Bahrain
3111,علي الرايق اووووووووي بقي,Egypt
3112,لا اطمن انا كشاب مسلم اقول لك هذه اشاعات و گاعدين على گلوبكم,Iraq
3113,حلقة على القناة الفضائية تناقش فضيحة جنيفر لوبيز بمهرجان موازين، وفيلم الزين لي فيك للمخرج نبيل عيوش المثير...  URL ,Morocco
3114,الي كل اللي بيحبوني,Djibouti
3115,بخصوصها هاي أختي كل مرة تقولي مطر مطر انزين وبعدين يعني تسوي عمرها تقهرني عادي أصلآ,Morocco
3116,النشاط والحيوية كويسات لكن دفع الفلوس مش كويس بتاتا,Libya
3117,الحين هذا جيراليت  URL  …,Oman
3118,كل الناس اللى كانت قريبة منى وإختفت أعياد ميلادها الشهر ده .. سويت نوفمبر حرفياً :-D,Egypt
3119,الله يرحمهم اجماعين النساء من دهب  URL ,Algeria
3120,ايش فهمك امت فرقي,Morocco
3121,في حالة تلاقيت بهاد الوجوه_HâmZâ ÂGm Lahcen Azr Fadooma Ben Hatat Hilal Lhssan Imad Belhanin Ikram NąSsįmą_فجهنم فغادي نعتابرها جنة ^_^,Morocco
3122,ياللي تحس إنك عن احساسي بعيد ما في مكان بداخلي ما تمرّه..,Kuwait
3123, USER   USER  لووول سر المهنة لوول ههههه,Morocco
3124,دو يو لوف مي دو يو دو يو,Iraq
3125,وينك الان رغب بلاميره احب اسعدفيك,Yemen
3126,اتمنى تتخنى يسو,Egypt
3127,حبيبي خاطري عن مابداله عبّر و نوّه و من شرواك يفطن وإنت شمس الخاطر و فيَّه,Kuwait
3128,خلص راح اكسره,Iraq
3129,زعما هنا دربتيها في 90 hhhhhhhh,Algeria
3130,بيض الله وجها، ويعطيك العافيه اخ حمد على التغطيات المتميزة,Qatar
3131,انا راني ضد التصوير مبصح راك تبان بقوص دكتور,Algeria
3132,الي يغور يغور احنا عندنا عاشور  URL ,Egypt
3133,دى ايه اللفة دى ؟؟  URL  …,Syria
3134,هههه انعم انعم خشيتي عالشعر جديد الموضوع,Libya
3135,هههههههههه صحيح هالمره الخريف غير,Oman
3136,عن نفسي انام 12 واصحى 5 ونص اودي اخواني دواماتهم وارجع اشوفها 6,Saudi_Arabia
3137,وبين الخوف و أوهامو بخاف عليك وبخاف تنساني (=| .,Syria
3138,ليش هواي تبجين وتونين,Iraq
3139,بسيطة بتوافقي بيها,Sudan
3140,"""راك تكتوك..! طلڨ نعجتك.. بيعلي أوورمة .. #الكوليرا.. \""مصطلحات تشترك في عبق الزمن..وفجأة العودة\"". #تعابير""",Algeria
3141,انا لو منك هاكلو علقه بنت متناكه,Egypt
3142,عرق الارمي القوي فيني شوي ويطق,Saudi_Arabia
3143,وانا كمان وربنا عمرها محصلت,Egypt
3144,اقسم بالله ماعرف عن الشخص حاحه غير اللي انا قولتهولك هو اتغير او لا الله اعلم   URL  ,Egypt
3145,عربى ولا افرنجى،,Egypt
3146,يارب أول مره في اتحط في الوضع دا ..,Egypt
3147,عيش لروحك.. ماتعيشش ليهم .. ارضاء الناس غاية بش تقدم لازمك تفسخها من مخك .,Tunisia
3148,ذكرتني بقصه الشخص الغني حب فلوسه حب ليس بعده حب وكان يبا يكون كريم مو بخيل ع نفسه وع الناس فقال اربطوني وتصدقوا بمالي عشان ماشوفكم وامنعكم,Iraq
3149,لا تروح مع اللي بالكلام يواسيك روح للي لاهزتك الايام مد يمناه,Kuwait
3150,عساه يسرقكم ويطير,Iraq
3151,ههههه الله يعين,United_Arab_Emirates
3152,احبببك دايماً تقولي الي ابغا اقوله,Saudi_Arabia
3153,ولما يعود من المشوار ، كوني الزِينة ع بوابو .,Saudi_Arabia
3154, USER  الريال عمل الجلاشه مع اليوفي هل من منافس للريال لما يسمع نشيد الشامبيونز,Egypt
3155,ماهو لو كنتِ اديتينا بوسيتيڤ انيرجي مكانش حصل دة كله,Egypt
3156,الحب ملعون الثوى يحرق الجوف يقلب بي الضحكه ويهتز باسي..,United_Arab_Emirates
3157,جعل ربي ما يرويّك الحزن والضيقه وأنت لوّل في ملذات العمر و أخرها  USER ,Kuwait
3158,#ناطرين_الفرج وفرج نايم وما سأل ع حدا URL ,Lebanon
3159,"My mind : Fatal Error , GRAVE مخي تحرق في البلاد هذي",Algeria
3160,ياارب اصحى وأنا واصلـة لـ 4k. - اللهم اكتب أجرنّا جميعاً.. #يوم_الجمعه,Kuwait
3161,اعدلها ويقطموها تاني بسيطة اهي,Egypt
3162,لازم نحييها ع ذكاءها,Jordan
3163,قولت دماغة عاليه نيك و نفسي تبقي زيه بسس,Egypt
3164,انا م عندي لهجه محدده ؟ اي كلمه تعجبني اخذها .,Saudi_Arabia
3165,بدي ابعتن كل يوم,Syria
3166,فرحانه بالكارنيه اوووي لم تكن تعلم انها بدايه اللعنه  URL  …,Egypt
3167,صاروا كابين غاز بهاليومين اكتر من ما متوقعين يستخرجوا #لبنان_ينتفض,Lebanon
3168,ايوه كده يا مناضل فرحنا بقى,Oman
3169,عادي في بلد المشاريع الوهمية,Mauritania
3170,قلب مكسور ومع ليكسزز اني شن ندير مالا,Libya
3171,يرجال توكل انت و شنبك ذا حرام تقول فحطه سيكل,Syria
3172,قال جاني بعد يومين يابا,Tunisia
3173,بشل شلولي ورايح جعلان,Oman
3174,المرة الجايه بفلوس، وشكراً,Oman
3175,هههههه نجي مالا,Algeria
3176,هههه نحاول نتعلم ونعلم,Algeria
3177,نعرف فريق خسر من المانيا 7 هههه URL  …,Egypt
3178,ياصاحبي منهو يلوم المجنن ان ياهم العاقل وسموّه مجنون؟,Oman
3179,محتاجه صحابي كلهم دلوقتي '((,Egypt
3180,اشتي احضنك من وراك ومص رقبتك,Yemen
3181,برشلونه لو سمحتي,Libya
3182,انطقى المخابرات كلها مقلوبة URL ,Egypt
3183,بمناسبة 10 رمضان كل سنة وانتم طيبين . URL ,Syria
3184,وين مكانها بالضبط؟,Libya
3185,الحمدلله ربحنا لاكوب و بعثولي 200 مليون في ccp,Algeria
3186, USER  خلإص إوك بس إذا رحت ورئ الشمس حاولي انك تجيبيني **,Saudi_Arabia
3187,سويتها أمس.. كانت رحلة ممتعة,Mauritania
3188,صح والله انا لدوك مانسيت حتى عبد URL ,Algeria
3189,له يا شهد شو دخلك,Palestine
3190,ان شاء الله بجربو,United_Arab_Emirates
3191,بتعرفي قنينة ال ليترين و ربع انا كل يوم بشربها كلها لحالي بعد الافطار بساعتين,Syria
3192,كان حلو اوي الاعلان ده  URL  …,Egypt
3193,لا كنا بس ماكانت تلفت نظرنا و سمعنا,Djibouti
3194,وقت كنت نعبر في iset ههه يا حسرة,Tunisia
3195,مجلس تأسيسي باش يديروه أصحاب هذه اللهجة,Algeria
3196,هلأ عنجد هالشي لازمه تفكير وتحليل ههههههههه,Algeria
3197,اي والله غير احبطتينني,Iraq
3198,ما نعرفش الاسم والله كلية الأدآب,Libya
3199,امين يا رب العالمين .. الله يثبت اجرك ويجازيك كل خير الله لا وريك شير,Algeria
3200, USER  كل سنة وأنت طيب,Mauritania
3201,يافطري كوني صبور على العذى لي ريتي برق من صوب المساقي لاح,Syria
3202,خليكم عن اديانا و ركزو مع اليسا,Djibouti
3203,ما احصل الا امواج والمدهش بس,Oman
3204,أحب صوتك هذاك اللي دواء الجروح,United_Arab_Emirates
3205,انك تبين عكس الي جواك دا مؤلم جدا انك تقول انك تمام وبخير وانك زي الفل وانت قلبك بيتحرق من كتر الوجع وعكس الي بتظهرو تماما,Egypt
3206,صلاة النبي أحسن (بصوت توفيق الدقن ),Egypt
3207,ما يأمر عليك ظالم ..,Libya
3208,هبقي اقوله حاضر,Egypt
3209,صار حبك صحيح” URL ,United_Arab_Emirates
3210,اقول اتركِ عنهم وداومي,Saudi_Arabia
3211, USER  شفتي شلون . إكشخ إكشخ,Saudi_Arabia
3212,مفيش اى حاجه لينا طاه,Egypt
3213,يارب زين وثلج وسلاح جديد URL  …,Saudi_Arabia
3214,سوري ي بلح نازلين بعد الصلاة ؟,Tunisia
3215,ربي يدوم عشرتكم,Algeria
3216,كان وصلنا لل 40 وبصحتنا ماكيفنا حد والله,Libya
3217,ما عندك كلاسات ؟,Oman
3218,اهي تمام دي اللي مش هتخليني انام ⁦,Egypt
3219,انسى عنا ما بيصير هيك شي,Lebanon
3220,انا مت من الضحك معاهم,Egypt
3221,هيا الهوم عندى بقت صور بنات بس اى البيض دا.. عاش يا شباب استمرو فى اللاف.,Egypt
3222,ربي يخليها ويزيدها من فضله,Saudi_Arabia
3223,قنبله بسرعه .. وسيبولي ال BM م هـ م ١ دي بس,Egypt
3224,ومعاكم سامو الي قال الرابتورز مفيهاش رجال,Morocco
3225,#الاتحاد_النصر هاردلك لجماهيرنا العظيمة مبروك للنصر لا ننكر الإتحاد قدم مباراة كبيرة بس الحظ وقف لنا بالمرصاد حظ النصر كله اختصر في بلنتيين .. الحمدلله ع كل حال بعد يناير موعدنا لإتحاد جديد نتنفس معاه الفوز كما كُنا سابقاً والله اشتقنا,Bahrain
3226,شعب شاقي على القات المغترب والمقيم كل همه ربطه قات أو جيرو قسماً بالله لو المبالغ والأوقات الذي تهدر للقات...  URL ,Yemen
3227,الله يرضى عليك,Syria
3228,وعلينا وعلى أعدائنا وليليليليليشششششش,Lebanon
3229,بس مش متناسبين مع بعض,Syria
3230,جزاك الله خير ابو زايد الله يرحم شيبانك,Kuwait
3231,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه واضح يحبها الزواج قريب,Saudi_Arabia
3232,ولا اجمل ولا اهضم جاذبية الدنيا موجودة بهالعيون وبهالانسانة  USER .twitter.com/Lo3wa9P1W5,Syria
3233,اغنيه نوال الكويتيه هاي,Iraq
3234,ما فاح همّ لك الله ما تقهويته ما مرّ حزن بغيري ما تبلاّني ! ياما وياما من الخذلان .. عديته إلا بصاحب بعد عِشره تناساني,Oman
3235,قولوا له العمر يركض والزمن يجري لا يحسب الناس والدنيا على هونه.,United_Arab_Emirates
3236,ال أنت بتهملها وتضمن وجودها فِ ألف غيرك يتمنى بس نظرة منها ، ال بتدوس على حبها فِ غيرك عايز يشيلها عَ راسه ، بس هي ترضى ، الِ أنتي بتقسي عليه فِ غيرك تتمنى تطبطب وتسمع وجعه وشكوته ، كلنا بنتعوض ، فا الِ جمبك وصابر عليك ده عشان بيحبك بجد ومش شايف غيرك ، مش عشان مش عارف يعوضك,Morocco
3237,وانا مش عندى طاقه الحب حاجه صعبه,Egypt
3238, USER  طلعت مو هين، هيه اوكي,Oman
3239,"""ومازال ذاك الزفت ينبض لاجلك نزار قباني بس معصب\""""",Iraq
3240,هو انا فاهمه عشان الغي,Egypt
3241,إذا طلع فيك شنب تعال حدثني وقتها ما زلت لم تبلغ بعد,Yemen
3242,عايشة وحدها بلاك,Egypt
3243,تطلع تقاعد بدون تعين,Iraq
3244,من لحيييين قاعده اتضايق URL ,Oman
3245,قل للمؤمئينين يغضون ابصارهم ياعبد الله ، كويس هكي بنات يشفط عليك ويقوللك قزع,Tunisia
3246,بكام ياخساسان وانا اشتريك * URL  …,Syria
3247,قالت ليها جميل جداً.... شنو هو الجميل,Sudan
3248,حرام عليك. وربي اصير شريرة وقت اشوفهم وامسك نفسي اعضعضهم,Egypt
3249,صحيح أغلب متابعيني عرب لكني ترجمت مقطع من قبل وشافوه بعض الأجانب وعجبهم,United_Arab_Emirates
3250,لايك لا هنتو ع الصورة رقم 22 و 29 يلا ابغيكم تفجروا  URL ,Morocco
3251,يبغى يشتهر مثل بنت القنون ياخي اعلن تخليك عن الدين مثلها وتجيك كند لحد بيتك تعطيك لجوء وسكن في مخيم,Yemen
3252,واتس اب يا جماعة  URL ,Palestine
3253,الجو يلي كيف هذا يبي احلام وخالد يديرو مقطعع,Libya
3254,اتفقنا على انه it's okay to have a bad day بس اتفاقنا كان على day واحد مو كل هدول ؟,Syria
3255,"قطري بس تكفيك انك نعرف حجمك الصغير النجس ,,,لو اي واحد ايقولي انت قطري , انتحر",Libya
3256,خليها ف السلاح ونعملها سوا,Egypt
3257,يارب قد ما غلبني الشوق لجدي و قد ما تمنيت اشوفه اغفر له ، يارب قد ماجت صورته فبالي اغفر له ، يارب قد ماتمنيت اسمع صوته اغفر له,Saudi_Arabia
3258,صح أنا أميرا,Saudi_Arabia
3259,عارف لما تقولك انها لوحدها اعرف ان ده اكتر وقت هي محتجاج فيه جنبها,Egypt
3260,كنت من طالبات الاذاعه طول فترة دراسي ويومياً اشارك سواء بالتقديم او موضوع او المشاهد ، وكان هالشي من افضل الاشياء الي صارت معايا زرع فيني ثقه كبيره واشياء مره كثير حقيقي ممنونه للفرصة الي خلتني ادخل هالعالم  USER  صديقة المسرح والاذاعة URL  …,Syria
3261,ياقلبي ما تبكيش ربي العالي مولانا,Algeria
3262,انت يا علي ونخلص من الدفن والموت ونقرأ الفاتحه على روحك,Iraq
3263,ما بين 25إلى 33 في المائة من سكان العالم يعطسون عندما يتعرضون فجأة للضوء... في الحقيقة انا منهم بعد,Oman
3264,اهاا عشان كذا,Oman
3265, USER  وبالأصح تقدر تقول (منافق) ، في الدرك الأسفل من النار,Syria
3266,الحمد لله راني مرتاح بويسك تهنينا و لا عندنا رايس . و انت واش هو شعورك ههههههههه,Algeria
3267,ها أية حجيتي؟؟؟,Iraq
3268,العائلة الملكية البريطانية تشكركم على إهتمامكم بعرسهم والذي فاق حتى إهتمام الصحافة البريطانية، ويقولون لكم قلبو شويا الموضوع.,Morocco
3269,وزير عمي هي كوة,Iraq
3270,نحس حاجة ناقصتني,Algeria
3271,شوف هو وين وانت وين من بعد حل فمك واش درت بالهدرة,Algeria
3272,أدغيم طق في سيادةالقيادة ياأحرارطبرق ويوصف في قرارات المُشيربتهديدات للساسة عليكم به,Libya
3273,وحشتني يا ابو سيفين كانت هناك سيدة تحب القديس العظيم أبوسيفين كثيراً جداااااااا كانت دائما تقوم صباحا وتقبل الصورة وتقول (صباح الخير يا أبو سيفين) وفى المساء تقبل الصورة…   URL  …,Egypt
3274,لا داعي للإعتذار ، اتوقع ان اجابتي صحيحه بنسبه 90٪ وعارف قصدك من السؤال مسبقا,Saudi_Arabia
3275,يعني صندوق ينتقد شيء ينتقد كيف هو الاقتصاد العالمي هيك انا فكرتي عنه,Morocco
3276,انسمع في مصراتة,Libya
3277,الله يهديه ويودره ف اقرب وقت,Oman
3278,التسعير بالليرة اللبنانية   URL  ,Lebanon
3279,#الخبر حيااااتي والله اطلق من يترند,Egypt
3280,ناه من جد اعني دا الشي... اعتقد عندي نزيف في راسي مدري مخي و مسخن و ما نمت كويس من امس ومدري كل شي,Saudi_Arabia
3281,بوعبدالله لا تذكرني جيل السبعينات أيام حلوه,Oman
3282,متزعليش هما كده الحرايته بيشيلووو URL  …,Egypt
3283,صورتك موجوده اصلا ياعم ركز بس,Lebanon
3284,نحن عصبة الأسد. أغنية رائعة مسجّلينها فرسان الإسلام إمّا ب Steinberg Cubase الألماني وإلّا ب Avid Protools و إلّا...  URL ,Tunisia
3285,غايتو الادارات دي البنعرفو عنها كانت وسيلة الانتخابات ونصهم كانو ارزقيه ومصلحجيه وقريب قبل تشكيل الحكومه كان عندهم لقاء مع حميدتي في معرض الخرطوم اترقعوا منو ومشوا .. بعدين الزول القاعد شمالك ده ماشايف شغلو الشوارع خاليه من شرطة النجدة وكلنا عارفين دورا .,Sudan
3286,لا تتفائل واجد ، اتمنى تقلع الرحلة في وقتها فقط ولاحقين على المواصفات العالية والاجهزة الملاحية والإضاءة ، إبدأ بضبط جودة عامل الوقت (إقلاع وهبوط) بعدها كل شي بيضبط,Saudi_Arabia
3287,هههههههههههههههههههه كلنا رايحين للاخره,Egypt
3288,لما واحدة ف الدفعة تعمل اكونت جديد وتشتغل الرجالة ويفكروا وجه جديد وكله يدخل يحك وف الاخر تطلع...  URL ,Egypt
3289,تفكرتهم يا سي عمار في الوقت هذا، استمتع بما هو أحلى و هو الانتصار بالكأس و اعلم بأن هدف بونجاح جاء من السماء، مبروووووك علينا.,Algeria
3290,يزيد يبعثلي كاش واحد الميساج هذاك نبلوكيه,Algeria
3291,اعطينا حل آخر ؟ نروحو للادستور ؟,Algeria
3292,ثار اي وانتم بتبيعوا فيها وفي اثارها,Egypt
3293,والله ويزو مكبره الموضوع,Lebanon
3294,وانا ممكن اجيب اللي يشهد اني عظيم,Lebanon
3295,ماتخليش حد يخرب عليك فرحتك يا هبله,Libya
3296,ي علاء دي ضوافر,Egypt
3297,شفتي النموذج يلي نزل هلأ؟,Syria
3298,مزال ماتعرف هظا كاله,Libya
3299,جميع المتابعين هنا ولا واحد قال حجزت نريد نعرف من حجز اذن !!!,Oman
3300,مهو عيب اكتب الي ف بالي,Palestine
3301,الكل عايش و بيغني و منشكح والناس مبسوطه و مزاجهم عنب إشمعنا أنا يعني أشغل بالي بوجع القلب و الماضي الحزين,Egypt
3302,ﺍﻭﻗﺢ ﺷﻌﻮﺭ ؛ ﻟﻤﺎ ﺗﺮﻭﺡ ﻋﺎﻟﻤﻄﺒﺦ ﺑﺎﻟﻠﻴﻞ ﻭﺗﻮﻗﻌﻠﻚ ﻃﻨﺠﺮﺓ ﻋﺎﻻﺭﺽ ﺑﺘﺤﺲ ﺣﺎﻟﻚ ﺣﺮﺍﻣﻲ ﻫﻬﻬﻬﻬﻬﻬﻬﻬﻬﻬﻬﻬﻬﻪﻫﻬﻬﻬﻬﻬﻬ,Palestine
3303,انت بتقول ايه,Morocco
3304, USER .ايه عندهم سينما والعياذ بالله خخخخخ. 0-∅,Morocco
3305,أبشري كم نجلاء عندي,Qatar
3306,كت تويت: كم ساعة تنام باليوم؟,Oman
3307,اش دخل ال دليم؟ ؟,Saudi_Arabia
3308,اليوم المباراة النهائية بين مزيارة ووادي شحرور في لاقونا عالساحة التصوير في أجمل موقع في الشرق الأوسط: دير القديس سمعان العامودي حامات,Lebanon
3309,كان نفسها فى شيبسى,Egypt
3310,آه والله صدقت,Jordan
3311,ودي اشوف مكانتي بقلبك أفعالك تحيّرني الف مره!.,United_Arab_Emirates
3312,اخيراً نقعد ساعه مانقدرنا ندخل الدوار,Saudi_Arabia
3313,لا فيه مسلسل اسمه بنات مدرسة الروابي ناويين يسوونه.. الظاهر بدون فهد يكون,Palestine
3314, USER  ي اغْلـى مـا عَـندي,United_Arab_Emirates
3315,مالي دخل بيهم كلهم,Iraq
3316,اديله عمري وعينيا... وبقلبي شجعته URL ,Egypt
3317,عبدالله برضو الي كداب هههه ياخي دا الي اختشو ماتو .,Egypt
3318,"""\""انا احب الأخ الكبير\"" عبارة (كناية) رح نشوفا كتير خلال هالفترة""",Syria
3319,شي يقهر والله.. يعني الي ميموت نتيجة ارهاب يموت بحادث سير,Iraq
3320,سواريز بدون ميسي : 36 هدف سواريز مع ميسي : 59 هدف نيمار بدون ميسي : 20 هدف نيمار مع ميسي : 40 هدف بنزيما مع رونالدو : 5 اهداف بنزيما بدون رونالدو : 18 هدف ( الموسم مازال ) ديبالا مع رونالدو : 5 اهداف ديبالا قبل رونالدو : 22 هدف و بالأخير يقلك ميسي اناني !!!!,Morocco
3321,الف الف شكر لحساب الاداره لدعمكم لنا يعطيكم الف عافيه,Saudi_Arabia
3322,مش ميكروباااص ثانيا انا بكتب بس. لازمتها ايه ننزل صور.,Egypt
3323,لبس في القطر URL  …,Syria
3324,.....لا بس و الله الاغنية تحفة,Algeria
3325,الميدتيرم بو بكرا عليه ٣٠ درجة شييييت مان !!,Oman
3326,اها الريس بلحه,Morocco
3327,لا مش هكي انتي تساعدي ع تكوين عائلة بس,Libya
3328,هي بقت كدا,Egypt
3329,٤؟ عقبال التعاون ان شاء الله,Egypt
3330,مرض كلابي هااد نوعية قوية,Palestine
3331,حبيبي والله يا چوو  URL  …,Egypt
3332,بحترم الوسخ الي معترف انو وسخ لكن الوسخ الي عامل فيها شريف دة بيبقي اوسخ شخصية ممكن تقابلها,Egypt
3333,يلا بشيله لعيونج,Qatar
3334,لكن تلبس ضيق عادي,Libya
3335,في الانجاز يا جماعة بسرعه الحاق العرض #زعيم_تويتر_فلورز_الاوسكار,Egypt
3336,علاه هذا عنده الحق يهدر,Algeria
3337,لعد لباجر امرلكم وره لعشه وحضريلنه كعده للصبح بنتي,Iraq
3338,والله عندك حق,Algeria
3339,البليهي غير ينطرد,Egypt
3340,أحاول أمنع شعوري غصب عن خشمي ما هو بودي و لكن بابنا تسكّر... | حشمت نفسي ويا نفسي بعد حشمي بعض المشاعر تجيب الضغط والسكر #عمر_مريود,Oman
3341,البقاء للانقي و الانضف من جوة يا اخ ابانوب سيبك من كل ده,Egypt
3342,اللي بيجي بدري بيمشي بدري,Egypt
3343,المشكل. إن هناك الكثير منهم في مجتمعنا... انقسموا بين يريد حقا الخراب لهذا الوطن..(هاذو هوما الخطر) و من المغرر بيهم و الامعة من الناس,Algeria
3344,مول ليبيا تمام عرفتيه فندق الضمان تقول مانكش من البيضاء,Libya
3345,شفي نهار صاير بريئ ههههههههههههههههه,Bahrain
3346,احضنيني لو الغرام ممنوع,Egypt
3347,"""كلشي على التبوريدة بالألوان. Chwya d l'exception \""en couleurs\""  URL """,Morocco
3348,غير انتي بطلتي تغنين بلتويت,Iraq
3349,أنا اللي في غرامة الله بلاني؛ URL ,Iraq
3350,هوا فى رومانسيه اكتر من كدا !  URL ,Egypt
3351, USER  هذا شكله ماخذ اوفر لود ها الفصل,Oman
3352,"""أكبر بخيل آلي يمانع بالوصل .. يوم آلهواتف خلت المبعد : قريب !\""""",Saudi_Arabia
3353,قلتلك انك بهيمة اليست امريكا من اول يوم قالت بشار يجب ان يرحل .,Algeria
3354,اي و الله مع الأسف، خيره بغيره,Iraq
3355,عب بخطف صوبهم احسن قبل واجازه سعيدة لك اخي جلال,Oman
3356,ماما لما ورتهولها وقولتلها تعالي نصيف ف مكان زي دا قالتي : وماله البانيو ! URL  …,Egypt
3357,مب بلنتي الجذب كان من فالنسيا,Qatar
3358,اشطا انا بحب كدا URL  …,Morocco
3359,تهورت وحطيت صورتي ف بطاقة الجامعة بفلتر وقبلوها,Oman
3360,انا عندكو نانانانانااااا,Jordan
3361,- مشكلة بعد واحد يخش ع الحاجة بالعرض و داير روحه يفهم ، وهو حافظ حفظ و يقعد ساكن بيها.. أوكي فهمنا را أنك واو !,Libya
3362,شجاع ، كريم ، زعيم ، ماتخاف ، لو تسثرت علينا حشوده ، ذيب طليب تخلي الذيب ينهار، اسد تخوف جميع الأسوده، فتين ، متين ، بطل ، بطار ، راس الجبل بالحرب خرقة سنودة ، حر، مر، للعدو سطّار .  USER  #حمدالله #الوحده_النصر URL ,Saudi_Arabia
3363,بكيف منو تعزمين الناس علي URL  …,Kuwait
3364,كفاااايه زياطه بقااا,Egypt
3365,الخد لمحه كنه النور وهاج والعنق يشبه للمها والغزالي شفة حبيبي كنها الجمر وسراج ورموشها ياناس تقتل رجالي,Saudi_Arabia
3366,مبروووك ي قلق,Egypt
3367,المباراه هذي تهديد للريال,Libya
3368,طب ع الهاادي,Lebanon
3369,ست سنين أ بنتلحرام ؤ عمرك تدكرتيني و لو بكلمة طيبة ههههههههههه (راك فاهمة),Morocco
3370,"""ابا اشوف فلم \""Dora”""",United_Arab_Emirates
3371,Hahahah بعد هيدي ما عملوها بلبنان URL  …,Lebanon
3372,و انا زهية كيف حالك ؟ URL  …,Algeria
3373,حبيبي ماعنده عقل المصدر صالح العراقي URL ,Iraq
3374,بتعملها برواز و بتعلقها على باب الشقة,Yemen
3375,موريتانيا.. لجنة الأهلة تطالب بتحري هلال رمضان غدا #عاجل #رمضان  URL  موريتانيا-لجنة-الأهلة-تطالب-بتحري-هلا/,Mauritania
3376,اي ترا شايف الصورة الساعة ١٢ بالليل كنت بأقصى درجات الجوع,Syria
3377,يارب تعدين الماده وتفرحين,Kuwait
3378,انت اللي كنت رايح مش انا و متخلنيش ادخل في تفاصيل عشان انا فاكر الاحداث اللي حصلت كويس جدا,Lebanon
3379,وحشه شوفتك اكثر كل ليله مع طيفك حبيب الروح انا اتحسر طاير من عيوني النوم على هذا الحال انا كل يوم سمعني حبيبي الصوت وسيرني على كيفك URL  …,Saudi_Arabia
3380,الصغيرة بعدين الكبيره,Iraq
3381,هذي تمشي بسياسة خالف تعرف..تحب تبان وفقط,Algeria
3382,ليه بس الشر ده,Egypt
3383,انا تاني قتلني #Kettal1M,Algeria
3384,م فيه الا كذا,Egypt
3385,شوفوا عبادي كيف قلب العود الى قيتار   URL  …,Saudi_Arabia
3386,سبحان الله شوف الاذن ما مكتوب عليها  URL ,Morocco
3387,الناس نسيوا الصدق ..هل تظنون سوف يتذكروا ان هناك شيئ اسمه الصدق نسيوا اذا كان الكذب بنجي فالصدق انجا بتمنى ان ترجعلن الذاكرة,Iraq
3388,ياختي عليها بكره تدبح لنفسك لما تتجوز يا بيضه,Egypt
3389,#نجران_الان #الافواج القبيلي متى يقاتل بذمه وضمير. في( ارض وعرض ) وتصبح حرب قبليه بأقل الخسائر من الطرف الثالث . استراتيجية فرق تسد . طبعا ذا بس النتيجه الأوليه من أفواج #نجران.,Saudi_Arabia
3390, USER  ميسي وضعية الميت,Syria
3391,لو بالجمال يا ناس... مكانش دِبِل الورد.,Egypt
3392,ما هذا بالعافيه بس,Iraq
3393,كافي صور قديمة الله واكبر عليكم,Iraq
3394,و الله بنزيما لما يقتلنا بالعرق...,Tunisia
3395,كنا عارفين انكم كدابين بس كنا بنحاول نضحك علي نفسنا بس خلاص بقي.,Egypt
3396,دهي ئه وه له جهاتم,Iraq
3397,المهم ما يدوش برك,Algeria
3398,هي خلطة من دياثة على شوية خنزرة مع عمالة نتيجتها أفعال يتعجب منها الشيطان,Syria
3399,قلنا يتفرج و يسكت و يعلق بعد ما تخلص،داينا بينكب نفسه بتوقعاته و حيقولك انه كان بيبعد العين,Morocco
3400,ان محدش يعرف انهم بيحبوا بعض اصلا اغلب المشاكل بتيجي من برا...,Egypt
3401,شكله أخوها ناسنها في البيت وقالها جيبيها لي عنب الباب وراحت توديها له,Oman
3402,و تبقى لي پرانسيپ هي مربط الفرس يا عمْ ..,Algeria
3403,جعل لا حدا غيرك ظحك,Jordan
3404,تقريبا اسعاره بتبدأ من 700 دولار,Egypt
3405,اه والله علاج العقل أولى,Jordan
3406,هههههه حجيتي بالكلبي,Iraq
3407,عمكم العالمي قربت قربت,Saudi_Arabia
3408,في رابط عجيب بين التفكير بمستقبلي والنوم كل ما أفكر وأحط خطط بنعس فجأة وبنام بحسني بحكيلي يلا عاد بلا كذب,Jordan
3409,لهم سنين وهم يشتروا لاعبين بالمجان اكيد مصمدين فلوس للوقت هذا,Libya
3410,يسعدلي جوك ي شيخ,Oman
3411,راحت الرجلة في ذاك الشي,Algeria
3412,هو اليوم كيف تواصلت معاهم يا عزو فيها كافي على ما أعتقد ، ماشيلها بعد الغداء توا نبلغك بالتفاصيل إن شاء الله,Libya
3413,هدا كان طحلوب تغير واصبح قرموووط URL ,Egypt
3414,أنت لا اقبلت طارت هالحروف .. وامتلت سدرة أنفاسي رفيف .. في الحنايا مثل ضرب الدفوف .. عرضة الحرب في اليوم المخيف ..!,Saudi_Arabia
3415,ياشبيه صويحبي حسبي عليك URL ,Saudi_Arabia
3416,صباحو عسل أبيض,Tunisia
3417,تخيل مدربين مثل كلوب و غورديولا ومورينهو يجيهم انشيلوتي,Algeria
3418,سلامات تحس فيه شيء شخصي بينهم,Bahrain
